Pref	Name
SAR136	Acarospora_anomala_SAR136
SAR138	Acarospora_anomala_SAR138
WE16	Acarospora_atrata_WE16
SAR69	Acarospora_atrata_SAR69
WE05	Acarospora_badiofusca_WE05
WE11	Acarospora_badiofusca_WE11
SAR144	Acarospora_cervina_SAR144
SAR200	Acarospora_cervina_SAR200
SAR120	Acarospora_fuscata_SAR120
SAR129	Acarospora_fuscata_SAR129
SAR08	Acarospora_glaucocarpa_s._str._SAR08
WE23	Acarospora_glaucocarpa_s._str._WE23
SAR53	Acarospora_glaucocarpa_s._lat._SAR53
SAR56	Acarospora_glaucocarpa_s._lat._SAR56
SAR01	Acarospora_glaucocarpa_v._melaniza_SAR01
SAR10	Acarospora_glaucocarpa_v._melaniza_SAR10
SAR166	Acarospora_heufleriana_SAR166
SAR189	Acarospora_hospitans_SAR189
SAR33	Acarospora_impressula_SAR33
WE06	Acarospora_insolata_WE06
SAR143	Acarospora_laqueata_SAR143
SAR156	Acarospora_macrospora_SAR156
SAR159	Acarospora_macrospora_SAR159
SAR93	Acarospora_moenium_SAR93
SAR223	Acarospora_moenium_SAR223
SAR121	Acarospora_molybdina_SAR121
ALM10	Acarospora_murorum_ALM10
SAR228	Acarospora_nicolai_SAR228
SAR248	Acarospora_cf._nitrophila_SAR248
SAR113	Acarospora_cf._nitrophila_SAR113
ALM11	Acarospora_nodulosa_ALM11
SAR146	Acarospora_nodulosa_SAR146
SAR163	Acarospora_obpallens_SAR163
SAR38	Acarospora_oligospora_SAR38
SAR89	Acarospora_oligospora_SAR89
SAR109	Acarospora_peliscypha_SAR109
SAR174	Acarospora_peliscypha_SAR174
SAR145	Acarospora_placodiiformis_SAR145
WE15	Trimmatothelopsis_rhizobola_WE15
WE17	Trimmatothelopsis_rhizobola_WE17
SAR31	Acarospora_rosulata_SAR31
SAR34	Acarospora_rosulata_SAR34
SAR172	Acarospora_rugulosa_SAR172
SAR173	Acarospora_rugulosa_SAR173
CO135	Acarospora_schleicheri_CO135
SAR222	Acarospora_schleicheri_SAR222
A50	Acarospora_sinopica_A50
MW20	Acarospora_sinopica_MW20
SAR165	Acarospora_socialis_SAR165
SAR20	Acarospora_sp.1_SAR20
SAR164	Acarospora_nevadensis_SAR164
SAR169	Acarospora_strigata_SAR169
SAR94	Trimmatothelopsis_terricola_SAR94
SAR95	Trimmatothelopsis_terricola_SAR95
CO238	Acarospora_umbilicata_CO238
SAR91	Acarospora_wahlenbergii_SAR91
SAR227	Acarospora_wahlenbergii_SAR227
SAR128	Glypholecia_scabra_SAR128
WE02	Myriospora_dilatata_WE02
WE39	Myriospora_dilatata_WE39
WE12	Myriospora_myochroa_WE12
WE20	Myriospora_myochroa_WE20
WE04	Myriospora_rhagadiza_WE04
WE08	Myriospora_rhagadiza_WE08
WE03	Myriospora_scabrida_WE03
WE19	Myriospora_scabrida_WE19
A36	Myriospora_smaragdula_A36
A37	Myriospora_smaragdula_A37
WE28	Myriospora_tangerina_WE28
MW57	Pleopsidium_chlorophanum_MW57
SAR221	Pleopsidium_chlorophanum_SAR221
MW58	Pleopsidium_flavum_MW58
SAR275	Polysporina_arenacea_SAR275
SAR246	Polysporina_cyclocarpa_SAR246
SAR44	Polysporina_cyclocarpa_SAR44
SAR267	Polysporina_gyrocarpa_SAR267
SAR71	Polysporina_simplex_SAR71
SAR73	Polysporina_simplex_SAR73
SAR104	Polysporina_simplex_SAR104
SAR199	Polysporina_simplex_SAR199
SAR236	Polysporina_simplex_SAR236
SAR242	Polysporina_simplex_SAR242
SAR254	Polysporina_simplex_SAR254
SAR262	Polysporina_simplex_SAR262
SAR273	Polysporina_simplex_SAR273
WE29	Polysporina_simplex_WE29
WE30	Polysporina_simplex_WE30
SAR268	Sarcogyne_albothallina_SAR268
SAR270	Acarospora_brodoana_SAR270
SAR72	Polysporina_subfuscescens_SAR72
SAR117	Polysporina_subfuscescens_SAR117
SAR130	Polysporina_subfuscescens_SAR130
SAR132	Polysporina_subfuscescens_SAR132
SAR147	Polysporina_subfuscescens_SAR147
SAR148	Polysporina_subfuscescens_SAR148
SAR161	Polysporina_subfuscescens_SAR161
SAR185	Polysporina_subfuscescens_SAR185
SAR186	Polysporina_subfuscescens_SAR186
SAR229	Polysporina_subfuscescens_SAR229
SAR244	Polysporina_subfuscescens_SAR244
SAR245	Polysporina_subfuscescens_SAR245
SAR247	Polysporina_subfuscescens_SAR247
SAR250	Polysporina_subfuscescens_SAR250
SAR252	Polysporina_subfuscescens_SAR252
SAR259	Polysporina_subfuscescens_SAR259
SAR269	Polysporina_subfuscescens_SAR269
SAR276	Polysporina_subfuscescens_SAR276
WE31	Polysporina_subfuscescens_WE31
CO15	Pycnora_sorophora_CO15
SAR37	Sarcogyne_algoviae_SAR37
SAR59	Sarcogyne_algoviae_SAR59
SAR96	Sarcogyne_arenosa_SAR96
SAR02	Sarcogyne_clavus_SAR02
SAR220	Sarcogyne_clavus_SAR220
SAR42	Sarcogyne_distinguenda_SAR42
SAR54	Sarcogyne_distinguenda_SAR54
SAR198	Sarcogyne_hypophaea_SAR198
SAR209	Sarcogyne_hypophaea_SAR209
SAR36	Sarcogyne_hypophaeoides_SAR36
SAR49	Sarcogyne_hypophaeoides_SAR49
SAR39	Sarcogyne_regularis_SAR39
SAR153	Sarcogyne_regularis_SAR153
SAR210	Sarcogyne_sp.1_SAR210
SAR218	Sarcogyne_sp.1_SAR218
SAR09	Sarcogyne_sp.2_SAR09
SAR63	Sarcogyne_sp.2_SAR63
SAR92	Timdalia_intricata_SAR92
SAR226	Timdalia_intricata_SAR226
ac_16643	Acarospora_bolleana_16643
ag_5971	Sarcogyne_alcensis_5971
ac_1240	Sarcogyne_bernardinensis_1240
ac_15854	Sarcogyne_bernardinensis_15854
ac_2414	Sarcogyne_canadensis_2414
ag_6056	Sarcogyne_canadensis_6056
ag_3475	Sarcogyne_canadensis_3475
JA-5783	Sarcogyne_canadensis_5783
JA-60908	Sarcogyne_canadensis_60908
JA-5743	Sarcogyne_convexa_5743
JA-7512	Sarcogyne_convexa_7512
JA-5660	Sarcogyne_wheeleri_56600
JA-1996	Sarcogyne_wheeleri_1996
JA-5678	Sarcogyne_wheeleri_5678
JA-56545	Sarcogyne_wheeleri_56545
ag_5674	Sarcogyne_wheeleri_5674
